iter	Passed	Remaining
0	191	86350
1	200	45041
2	209	31319
3	218	24427
4	233	20789
5	257	19067
6	266	16893
7	271	15057
8	280	13778
9	290	12812
10	311	12451
11	319	11685
12	326	10986
13	333	10405
14	349	10173
15	377	10272
16	384	9820
17	391	9421
18	397	9033
19	406	8764
20	420	8618
21	447	8733
22	457	8520
23	464	8261
24	476	8126
25	492	8045
26	517	8127
27	524	7923
28	532	7745
29	539	7571
30	558	7562
31	581	7616
32	588	7454
33	593	7282
34	600	7136
35	611	7049
36	640	7167
37	649	7053
38	657	6943
39	662	6811
40	677	6775
41	707	6891
42	715	6784
43	719	6657
44	724	6536
45	731	6440
46	752	6469
47	776	6518
48	785	6443
49	794	6373
50	804	6308
51	811	6223
52	817	6139
53	824	6059
54	833	6001
55	840	5928
56	847	5858
57	853	5779
58	863	5734
59	868	5662
60	874	5589
61	880	5523
62	887	5463
63	893	5402
64	902	5360
65	909	5306
66	916	5250
67	922	5197
68	930	5151
69	937	5102
70	943	5051
71	952	5011
72	959	4969
73	966	4926
74	973	4879
75	981	4841
76	987	4794
77	995	4759
78	1003	4726
79	1012	4694
80	1017	4647
81	1024	4612
82	1031	4572
83	1037	4533
84	1045	4499
85	1050	4458
86	1055	4415
87	1063	4385
88	1069	4351
89	1077	4320
90	1084	4290
91	1093	4267
92	1099	4232
93	1105	4198
94	1111	4166
95	1120	4142
96	1128	4117
97	1134	4086
98	1141	4058
99	1147	4027
100	1153	3997
101	1160	3969
102	1166	3941
103	1171	3909
104	1180	3890
105	1187	3863
106	1199	3856
107	1206	3832
108	1214	3810
109	1224	3794
110	1228	3764
111	1234	3737
112	1242	3717
113	1249	3694
114	1258	3678
115	1265	3655
116	1273	3634
117	1279	3610
118	1284	3583
119	1291	3563
120	1297	3538
121	1305	3520
122	1316	3509
123	1323	3490
124	1331	3472
125	1339	3454
126	1344	3430
127	1352	3412
128	1358	3392
129	1367	3376
130	1373	3354
131	1381	3338
132	1388	3319
133	1393	3297
134	1402	3282
135	1409	3264
136	1415	3244
137	1424	3230
138	1431	3212
139	1437	3193
140	1442	3170
141	1448	3151
142	1457	3139
143	1463	3120
144	1473	3109
145	1479	3090
146	1486	3074
147	1492	3055
148	1499	3038
149	1505	3020
150	1511	3002
151	1520	2991
152	1530	2981
153	1537	2964
154	1547	2954
155	1553	2938
156	1559	2921
157	1566	2904
158	1573	2890
159	1581	2875
160	1587	2860
161	1597	2850
162	1605	2836
163	1611	2820
164	1618	2804
165	1624	2788
166	1630	2772
167	1636	2757
168	1642	2740
169	1649	2726
170	1655	2710
171	1661	2695
172	1667	2678
173	1673	2663
174	1679	2648
175	1684	2631
176	1689	2615
177	16178	1687178	17179	1699	2558
180	1706	2545
181	1715	2534
182	1722	2522
183	1730	2510
184	1737	2498
185	1744	2485
186	1752	2473
187	1758	2460
188	1768	2451
189	1776	2440
190	1783	2428
191	1792	2418
192	1802	2409
193	1808	2396
194	1817	2385
195	1827	2377
196	1837	2369
197	1849	2362
198	1859	2354
199	1868	2345
200	1874	2331
201	1881	2319
202	1888	2307
203	1893	2292
204	1899	2279
205	1904	2264
206	1909	2251
207	1916	2239
208	1922208	19209	1928209	1953	2242
210	1987	2261
211	1995	2250
212	2000	2235
213	2006	2221
214	2012	2208
215	2035	2214
216	2062	2224
217	2069	2211
218	2074	2197
219	2078	2182
220	20221	2082221	21222	2116222	21223	2123223	21224	2127224	21225	2134225	21226	2149226	21227	2184227	21228	2190228	22229	2196229	22230	2209230	22231	2244231	22232	2255232	22233	2262233	22234	2276	2092
235	2304	2099
236	2316	2091
237	2322	2078
238	2335	2072
239	2355	2071
240	2383	2076
